Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
BS_TS_5min,OFF,bom_2_2_10_5,7.0,1,300.2281,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,2,300.2106,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,3,300.2095,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,4,300.2106,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,5,300.2266,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,6,300.2143,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,7,300.2121,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,8,300.2213,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,9,300.2328,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,10,300.2409,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,11,300.2261,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,12,300.2295,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,13,300.2182,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,14,300.3441,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,15,300.3077,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,16,300.2443,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,17,300.2243,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,18,300.2367,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,19,300.2416,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,20,300.2186,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,21,300.2849,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,22,300.2192,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,23,300.2305,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,24,300.3026,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,25,300.2393,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,26,300.2343,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,27,300.2947,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,28,300.2446,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,29,300.2039,48210.0
BS_TS_5min,OFF,bom_2_2_10_5,7.0,30,300.2392,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,1,300.2196,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,2,300.2469,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,3,300.235,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,4,300.2108,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,5,300.3114,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,6,300.2401,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,7,300.2437,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,8,300.2103,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,9,300.2317,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,10,300.2456,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,11,300.3079,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,12,300.2473,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,13,300.2129,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,14,300.2304,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,15,300.2028,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,16,300.2238,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,17,300.2433,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,18,300.2243,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,19,300.2254,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,20,300.2782,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,21,300.2181,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,22,300.2092,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,23,300.2246,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,24,300.2277,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,25,300.2289,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,26,300.2455,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,27,300.2322,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,28,300.2346,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,29,300.2348,48210.0
BS_TS_5min,ON,bom_2_2_10_5,7.0,30,300.2304,48210.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,1,300.2292,70834.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,2,300.3239,71047.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,3,300.2347,71005.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,4,300.2237,70940.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,5,300.2717,70905.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,6,300.3451,70875.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,7,300.2274,70940.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,8,300.4153,70940.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,9,300.2201,70875.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,10,300.3604,70940.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,11,300.2346,70834.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,12,300.245,71005.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,13,300.2645,70810.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,14,300.2678,70940.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,15,300.2083,70875.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,16,300.2533,70940.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,17,300.2649,70905.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,18,300.2773,71005.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,19,300.2594,70834.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,20,300.3005,70834.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,21,300.257,70875.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,22,300.2213,71005.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,23,300.3377,70976.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,24,300.2337,71005.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,25,300.2512,70875.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,26,300.2338,70810.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,27,300.3363,70905.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,28,300.2178,70875.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,29,300.2424,71005.0
BS_TS_5min,OFF,bom_2_3_10_5,13.0,30,300.244,71005.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,1,300.2295,70810.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,2,300.246,70905.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,3,300.2797,70875.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,4,300.2504,70875.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,5,300.2341,70810.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,6,300.2943,70875.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,7,300.2556,71005.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,8,300.2475,70905.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,9,300.2537,71047.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,10,300.3527,70976.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,11,300.2642,70940.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,12,300.2283,70905.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,13,300.3467,70976.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,14,300.365,70940.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,15,300.3851,70834.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,16,300.2634,71005.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,17,300.2254,70875.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,18,300.2232,70834.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,19,300.2305,71005.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,20,300.247,70905.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,21,300.2602,70810.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,22,300.2416,70834.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,23,300.2051,70940.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,24,300.2464,70810.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,25,300.2531,71005.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,26,300.2266,70834.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,27,300.2171,70940.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,28,300.3046,71005.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,29,300.2443,71047.0
BS_TS_5min,ON,bom_2_3_10_5,13.0,30,300.2537,71005.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,1,300.2546,97898.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,2,300.3633,98278.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,3,300.2747,97866.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,4,300.2783,97486.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,5,300.2988,99110.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,6,300.3321,97634.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,7,300.3341,97519.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,8,300.3347,97634.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,9,300.3163,98049.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,10,300.3228,98826.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,11,300.3122,97486.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,12,300.3291,98810.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,13,300.7943,98466.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,14,300.2697,98049.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,15,300.2901,97620.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,16,300.3231,98049.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,17,300.3819,98049.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,18,300.3021,97502.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,19,300.5126,97486.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,20,300.3786,99012.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,21,300.3865,98906.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,22,300.3349,97634.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,23,300.3222,99012.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,24,300.3115,97866.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,25,300.3687,97486.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,26,300.3072,97603.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,27,300.3065,97502.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,28,300.3805,98009.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,29,300.5044,97634.0
BS_TS_5min,OFF,bom_2_4_10_5,21.0,30,300.3247,97502.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,1,300.2967,94471.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,2,300.3169,94471.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,3,300.5605,94464.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,4,300.3532,94464.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,5,300.3017,94621.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,6,300.3687,94753.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,7,300.5307,95818.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,8,300.5045,94540.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,9,300.3138,95919.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,10,300.3367,94824.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,11,300.2911,94621.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,12,300.3104,94524.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,13,300.3294,95656.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,14,300.3309,94332.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,15,300.3203,95721.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,16,300.3305,94740.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,17,300.3553,95700.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,18,300.4145,94332.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,19,300.7376,95650.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,20,300.3334,94740.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,21,300.3258,96007.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,22,300.5472,94332.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,23,300.3672,94740.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,24,300.7549,94621.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,25,300.2843,95736.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,26,300.2853,95665.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,27,300.3096,95818.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,28,300.3785,94621.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,29,300.4379,95813.0
BS_TS_5min,ON,bom_2_4_10_5,21.0,30,300.3626,94471.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,1,300.3552,86287.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,2,300.3962,84795.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,3,300.397,84749.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,4,300.8964,83297.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,5,300.3267,84945.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,6,300.3624,84913.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,7,300.422,81816.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,8,300.4147,84653.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,9,300.5013,84494.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,10,300.4085,86214.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,11,300.3942,83659.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,12,300.657,83179.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,13,300.4849,84044.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,14,300.3675,85480.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,15,300.3799,86174.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,16,300.3634,84568.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,17,300.4226,85454.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,18,301.3522,83299.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,19,300.3462,82797.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,20,300.3799,84237.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,21,300.373,85367.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,22,300.6232,84427.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,23,301.0673,85647.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,24,300.4912,83188.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,25,300.5133,85392.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,26,300.3782,86120.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,27,300.372,85155.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,28,300.4343,83823.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,29,300.392,83995.0
BS_TS_5min,OFF,bom_2_5_10_5,31.0,30,300.7117,85859.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,1,300.5898,86937.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,2,300.4193,85910.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,3,300.4281,83563.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,4,300.3953,85516.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,5,300.4123,85314.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,6,300.5701,85392.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,7,301.1558,82728.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,8,300.3575,85466.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,9,300.3936,83127.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,10,300.34,85827.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,11,300.396,85761.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,12,300.9947,84923.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,13,300.3327,83995.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,14,300.4898,84129.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,15,300.3962,84848.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,16,300.381,84282.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,17,300.3735,84075.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,18,300.409,84155.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,19,300.4067,84937.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,20,300.3794,85647.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,21,300.6325,84312.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,22,300.3891,84672.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,23,300.4088,84723.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,24,300.3863,85154.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,25,300.3732,83074.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,26,300.9906,84198.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,27,300.5774,84777.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,28,300.3303,84492.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,29,300.3466,85402.0
BS_TS_5min,ON,bom_2_5_10_5,31.0,30,300.4117,86374.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,1,300.7764,108647.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,2,300.3771,110719.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,3,300.3849,111325.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,4,300.4102,109985.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,5,300.7262,110240.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,6,300.3998,111776.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,7,300.862,110393.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,8,300.4022,111092.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,9,300.4091,110226.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,10,300.419,110511.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,11,300.4381,110957.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,12,300.6094,110937.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,13,300.4279,111738.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,14,300.3998,111351.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,15,300.4287,110011.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,16,300.6654,111939.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,17,300.4383,111758.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,18,300.5497,110632.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,19,300.415,110879.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,20,300.3985,111162.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,21,300.4903,111793.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,22,300.7831,108879.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,23,300.4341,110202.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,24,300.4427,109837.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,25,300.8643,108341.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,26,300.423,111026.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,27,300.4207,109837.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,28,300.4154,110031.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,29,300.4352,109987.0
BS_TS_5min,OFF,bom_2_6_10_5,43.0,30,300.4281,109212.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,1,300.3862,109672.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,2,300.429,109642.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,3,300.4548,109074.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,4,300.4644,108279.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,5,300.4001,109507.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,6,300.4366,109385.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,7,300.4649,109659.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,8,300.4318,111080.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,9,300.6707,109138.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,10,300.4045,108177.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,11,300.4384,107969.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,12,300.5178,109496.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,13,300.8063,109838.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,14,300.4036,108465.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,15,300.487,110300.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,16,300.4149,109447.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,17,300.95,109117.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,18,300.7555,108790.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,19,300.4223,108142.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,20,300.5128,108438.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,21,300.49,109338.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,22,300.6865,108781.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,23,300.4781,108972.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,24,300.5034,109127.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,25,300.785,109496.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,26,300.5041,109715.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,27,300.8641,109454.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,28,300.4886,109070.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,29,300.4157,109519.0
BS_TS_5min,ON,bom_2_6_10_5,43.0,30,300.4531,111506.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,1,300.4803,150983.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,2,300.5125,149527.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,3,300.566,150633.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,4,300.5016,153256.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,5,300.9697,151042.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,6,300.4917,153239.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,7,300.5607,152257.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,8,300.5182,151424.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,9,300.5268,151168.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,10,300.537,152693.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,11,300.8543,151394.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,12,300.4643,151471.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,13,300.5452,152824.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,14,300.4812,150852.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,15,301.0396,151633.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,16,300.5055,151012.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,17,300.4941,152588.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,18,300.4606,150508.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,19,300.6922,153464.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,20,300.7133,153022.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,21,300.502,151406.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,22,300.5012,150916.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,23,300.4689,151674.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,24,300.7621,149956.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,25,300.5589,151471.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,26,300.7608,151078.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,27,300.4651,151111.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,28,300.5356,151858.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,29,300.6225,151585.0
BS_TS_5min,OFF,bom_2_7_10_5,57.0,30,300.4484,150464.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,1,300.5013,146165.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,2,300.4734,145882.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,3,300.9298,147647.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,4,300.5458,146112.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,5,300.4703,149589.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,6,300.5512,145983.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,7,300.5482,148022.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,8,300.5092,148450.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,9,300.4792,148981.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,10,300.8025,147215.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,11,300.5789,147168.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,12,300.9744,145942.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,13,300.5298,146827.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,14,300.5297,149530.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,15,300.5063,147215.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,16,300.5373,146353.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,17,300.5212,147071.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,18,300.5668,148110.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,19,301.0849,145675.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,20,300.8787,146028.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,21,300.5013,146260.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,22,300.4778,147071.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,23,300.6622,149987.0
BS_TS_5min,ON,bom_2_7_10_5,57.0,24,300.5405,147971.0
